model,strict_mean_full,soft_mean_full
deepseek-v3,0.7699056,0.916202
llama3.3-70b,0.7236475,0.8904349
mistral-large,0.71779877,0.8887018
llama3.1-405b,0.69360626,0.8639256
qwen2.5-72b,0.6436262,0.81352484
Qwen2.5-7B,0.61518013,0.817238
gemma-2-9b,0.60614115,0.8030103
Llama-3.1-8B,0.5848731,0.8000274
Llama-3.2-3B,0.5154858,0.75191385
gemma-2-2b,0.51030177,0.74341667
Qwen2.5-3B,0.49966767,0.7344883
Qwen2.5-1.5B,0.3316496,0.5811424
Llama-3.2-1B,0.31397048,0.5712211
Qwen2.5-0.5B,0.16017546,0.39497793
