N,replicate,model,strict_mean,soft_mean
100,0,Llama-3.1-8B,0.65,0.8372976
100,0,Llama-3.2-1B,0.29,0.59583336
100,0,Llama-3.2-3B,0.56,0.78495246
100,0,Qwen2.5-0.5B,0.19,0.47435716
100,0,Qwen2.5-1.5B,0.35,0.6268214
100,0,Qwen2.5-3B,0.48,0.74101186
100,0,Qwen2.5-7B,0.65,0.833619
100,0,deepseek-v3,0.8,0.92090476
100,0,gemma-2-2b,0.49,0.77259517
100,0,gemma-2-9b,0.6,0.8173213
100,0,llama3.1-405b,0.72,0.8692381
100,0,llama3.3-70b,0.75,0.9034048
100,0,mistral-large,0.66,0.86954767
100,0,qwen2.5-72b,0.66,0.8096548
100,1,Llama-3.1-8B,0.58,0.81574994
100,1,Llama-3.2-1B,0.29,0.54228574
100,1,Llama-3.2-3B,0.48,0.71909523
100,1,Qwen2.5-0.5B,0.14,0.40042847
100,1,Qwen2.5-1.5B,0.37,0.5745119
100,1,Qwen2.5-3B,0.55,0.7592739
100,1,Qwen2.5-7B,0.59,0.832369
100,1,deepseek-v3,0.71,0.9079881
100,1,gemma-2-2b,0.47,0.72821426
100,1,gemma-2-9b,0.58,0.7918927
100,1,llama3.1-405b,0.67,0.8587974
100,1,llama3.3-70b,0.69,0.89449984
100,1,mistral-large,0.72,0.90535706
100,1,qwen2.5-72b,0.6,0.7923453
100,2,Llama-3.1-8B,0.54,0.7794642
100,2,Llama-3.2-1B,0.24,0.48730958
100,2,Llama-3.2-3B,0.52,0.7286904
100,2,Qwen2.5-0.5B,0.19,0.39753574
100,2,Qwen2.5-1.5B,0.27,0.5088214
100,2,Qwen2.5-3B,0.53,0.7147262
100,2,Qwen2.5-7B,0.59,0.75491667
100,2,deepseek-v3,0.76,0.90397626
100,2,gemma-2-2b,0.47,0.6866073
100,2,gemma-2-9b,0.57,0.7779048
100,2,llama3.1-405b,0.7,0.8874882
100,2,llama3.3-70b,0.75,0.89365476
100,2,mistral-large,0.73,0.89275
100,2,qwen2.5-72b,0.61,0.7705834
100,3,Llama-3.1-8B,0.58,0.7915477
100,3,Llama-3.2-1B,0.33,0.5362143
100,3,Llama-3.2-3B,0.54,0.76708335
100,3,Qwen2.5-0.5B,0.19,0.39583337
100,3,Qwen2.5-1.5B,0.36,0.6296547
100,3,Qwen2.5-3B,0.49,0.7099524
100,3,Qwen2.5-7B,0.65,0.8072619
100,3,deepseek-v3,0.78,0.9325714
100,3,gemma-2-2b,0.52,0.7500714
100,3,gemma-2-9b,0.66,0.8251191
100,3,llama3.1-405b,0.68,0.84064287
100,3,llama3.3-70b,0.72,0.8992857
100,3,mistral-large,0.75,0.90973794
100,3,qwen2.5-72b,0.68,0.81834525
100,4,Llama-3.1-8B,0.55,0.7896785
100,4,Llama-3.2-1B,0.28,0.55382144
100,4,Llama-3.2-3B,0.44,0.7384285
100,4,Qwen2.5-0.5B,0.14,0.37391663
100,4,Qwen2.5-1.5B,0.32,0.5367975
100,4,Qwen2.5-3B,0.43,0.7072977
100,4,Qwen2.5-7B,0.64,0.82952386
100,4,deepseek-v3,0.73,0.882512
100,4,gemma-2-2b,0.45,0.7329287
100,4,gemma-2-9b,0.56,0.7903334
100,4,llama3.1-405b,0.73,0.8828572
100,4,llama3.3-70b,0.73,0.8969166
100,4,mistral-large,0.72,0.8815239
100,4,qwen2.5-72b,0.61,0.8252858
100,5,Llama-3.1-8B,0.64,0.8038452
100,5,Llama-3.2-1B,0.28,0.57885724
100,5,Llama-3.2-3B,0.54,0.7487023
100,5,Qwen2.5-0.5B,0.15,0.380631
100,5,Qwen2.5-1.5B,0.33,0.56642854
100,5,Qwen2.5-3B,0.52,0.74027383
100,5,Qwen2.5-7B,0.66,0.8309762
100,5,deepseek-v3,0.8,0.9247738
100,5,gemma-2-2b,0.47,0.7225713
100,5,gemma-2-9b,0.61,0.7886071
100,5,llama3.1-405b,0.69,0.86417854
100,5,llama3.3-70b,0.7,0.86601186
100,5,mistral-large,0.73,0.87809515
100,5,qwen2.5-72b,0.63,0.80045235
100,6,Llama-3.1-8B,0.61,0.79844046
100,6,Llama-3.2-1B,0.36,0.61032146
100,6,Llama-3.2-3B,0.51,0.7312737
100,6,Qwen2.5-0.5B,0.19,0.4230238
100,6,Qwen2.5-1.5B,0.34,0.597619
100,6,Qwen2.5-3B,0.52,0.7454525
100,6,Qwen2.5-7B,0.59,0.82811904
100,6,deepseek-v3,0.75,0.90211904
100,6,gemma-2-2b,0.45,0.71592855
100,6,gemma-2-9b,0.65,0.835512
100,6,llama3.1-405b,0.67,0.8347381
100,6,llama3.3-70b,0.74,0.89440465
100,6,mistral-large,0.77,0.92290473
100,6,qwen2.5-72b,0.64,0.80827385
100,7,Llama-3.1-8B,0.6,0.7967975
100,7,Llama-3.2-1B,0.38,0.6108929
100,7,Llama-3.2-3B,0.59,0.80416673
100,7,Qwen2.5-0.5B,0.19,0.39897618
100,7,Qwen2.5-1.5B,0.31,0.4845952
100,7,Qwen2.5-3B,0.43,0.67470247
100,7,Qwen2.5-7B,0.61,0.77853566
100,7,deepseek-v3,0.75,0.89711905
100,7,gemma-2-2b,0.6,0.7741904
100,7,gemma-2-9b,0.62,0.8060952
100,7,llama3.1-405b,0.69,0.8635238
100,7,llama3.3-70b,0.72,0.8737024
100,7,mistral-large,0.7,0.8699286
100,7,qwen2.5-72b,0.65,0.79697627
100,8,Llama-3.1-8B,0.65,0.8238929
100,8,Llama-3.2-1B,0.31,0.5484048
100,8,Llama-3.2-3B,0.58,0.80333334
100,8,Qwen2.5-0.5B,0.11,0.33396432
100,8,Qwen2.5-1.5B,0.33,0.5307381
100,8,Qwen2.5-3B,0.5,0.7242143
